Genome partition ID	(sub)Type / Coordinates	Strand	Cas gene
NC_014374	2771..3319	-	cas4
NC_014374	3312..3596	-	cas2
NC_014374	3593..4582	-	cas1
NC_014374	4579..5376	-	cas4
NC_014374	6580..7452	-	cmr3gr5
NC_014374	7459..10350	-	cas10
NC_014374	10337..11089	-	cmr6gr7
NC_014374	11095..12315	-	cmr1gr7,cmr1gr7
NC_014374	12312..12797	-	cmr5gr11
NC_014374	12805..13686	-	cmr4gr7
NC_014374	13875..15467	-	csx1
NC_014374	17989..18114	-	-
NC_014374	18128..18889	+	csm6
NC_013124	CAS-I-E		
NC_013124	1003367..1003645	-	cas2
NC_013124	1003642..1004586	-	cas1
NC_013124	1004583..1005263	-	cas6e
NC_013124	1005265..1006026	-	cas5
NC_013124	1006023..1007183	-	cas7
NC_013124	1007180..1007752	-	cse2gr11
NC_013124	1007749..1009371	-	cas8e
NC_013124	1009361..1012129	-	cas3
NC_009468	CAS-I-E		
NC_009468	26164..28842	+	cas3
NC_009468	29133..30722	+	cas8e
NC_009468	30719..31258	+	cse2gr11
NC_009468	31258..32370	+	cas7
NC_009468	32372..33121	+	cas5
NC_009468	33127..33804	+	cas6e
NC_009468	33797..34759	+	cas1
NC_009484	CAS-I-E		
NC_009484	1991304..1992266	-	cas1
NC_009484	1992259..1992945	-	cas6e
NC_009484	1992942..1993691	-	cas5
NC_009484	1993693..1994805	-	cas7
NC_009484	1994805..1995344	-	cse2gr11
NC_009484	1995341..1996930	-	cas8e
NC_009484	1997220..1999325	-	cas3
NC_015850	partial CAS-IV-A		
NC_015850	1235295..1236269	-	csf2gr7
NC_015850	1237105..1237560	-	cas6e
NC_015850	1237557..1238339	-	-
NC_015850	1238339..1239022	-	csf3gr5
NC_015850	1239007..1241187	-	DinG
NC_011761	CAS-IV-A		
NC_011761	935088..937397	-	DinG
NC_011761	937392..938141	+	csf1gr8
NC_011761	938138..939199	+	csf2gr7
NC_011761	939196..939888	+	csf3gr5
NC_011761	939901..940068	+	-
NC_011761	939999..940628	+	cas6f
NC_012483	CAS-I-C		
NC_012483	895884..896177	-	cas2
NC_012483	896211..897242	-	cas1
NC_012483	897239..897940	-	cas4
NC_012483	897947..898858	-	cas7
NC_012483	898855..900711	-	cas8c
NC_012483	900693..901418	-	cas5
NC_012483	901449..901649	-	-
NC_012483	901815..904130	-	cas3
NC_008578	CAS-II-C		
NC_008578	2210164..2210490	-	cas2
NC_008578	2210483..2211370	-	cas1
NC_008578	2211367..2214783	-	cas9
NC_008782	CAS-I-F		
NC_008782	504022..504597	-	cas6f
NC_008782	504611..505636	-	cas7f
NC_008782	505693..506775	-	cas5f
NC_008782	506772..508217	-	cas8f
NC_008782	508222..511758	-	cas3f
NC_008782	511755..512759	-	cas1
NC_015138	CAS-II-C		
NC_015138	295839..298976	+	cas9
NC_015138	298983..299912	+	cas1
NC_015138	299945..300271	+	cas2
NC_015138	CAS-I-C		
NC_015138	4418503..4421010	+	cas3
NC_015138	4421059..4421733	+	cas5
NC_015138	4421730..4423571	+	cas8c
NC_015138	4423568..4424461	+	cas7
NC_015138	4424492..4425184	+	cas4
NC_015138	4425169..4426209	+	cas1
NC_015138	4426262..4426552	+	cas2
NC_011992	CAS-II-C		
NC_011992	62519..62827	-	cas2
NC_011992	62864..63772	-	cas1
NC_011992	63759..67154	-	cas9
NC_019942	CAS-I-B		
NC_019942	1375591..1375854	-	cas2
NC_019942	1375856..1376827	-	cas1
NC_019942	1376817..1377323	-	cas4
NC_019942	1377646..1379847	-	cas3
NC_019942	1379844..1380512	-	cas5
NC_019942	1380494..1381381	-	cas7
NC_019942	1381378..1382742	-	cas8b9
NC_019942	1382888..1383724	-	cas6
NC_013926	CAS-III-A		
NC_013926	978546..978809	-	cas2
NC_013926	978811..979776	-	cas1
NC_013926	979781..980266	-	cas4
NC_013926	980272..980982	-	cas6
NC_013926	981020..981790	-	csx1
NC_013926	981787..983055	-	csx1
NC_013926	984518..985660	-	csm5gr7
NC_013926	985671..986513	-	csm4gr5
NC_013926	986479..987297	-	csm3gr7
NC_013926	987311..987754	-	csm2gr11
NC_013926	987756..990023	-	cas10
NC_005966	CAS-I-F		
NC_005966	2439177..2442413	-	cas3f
NC_005966	2442800..2443189	+	Phage antirepressor protein Ki
NC_005966	2443261..2444466	+	cas8f
NC_005966	2444463..2445347	+	cas5f
NC_005966	2445377..2446438	+	cas7f
NC_005966	2446441..2447052	+	cas6f
NC_005966	2447064..2448017	+	cas1
NC_011586	CAS-I-F		
NC_011586	2991441..2992052	-	cas6f
NC_011586	2992055..2992882	-	cas7f
NC_011586	2993365..2993979	-	cas5f
NC_011586	2993979..2995229	-	cas8f
NC_011586	2995245..2998619	-	cas3f
NC_011586	2998616..2999581	-	cas1
NC_011595	CAS-I-F		
NC_011595	1059929..1060894	+	cas1
NC_011595	1060891..1064265	+	cas3f
NC_011595	1064281..1065531	+	cas8f
NC_011595	1065531..1066415	+	cas5f
NC_011595	1066443..1067456	+	cas7f
NC_011595	1067459..1068070	+	cas6f
NC_010410	CAS-I-F		
NC_010410	1057826..1058791	+	cas1
NC_010410	1058788..1062162	+	cas3f
NC_010410	1062178..1063428	+	cas8f
NC_010410	1063428..1064312	+	cas5f
NC_010410	1064339..1065352	+	cas7f
NC_010410	1065352..1065966	+	cas6f
NC_010278	CAS-I-F		
NC_010278	232617..235964	-	cas3f
NC_010278	235961..236917	-	cas1
NC_010278	239167..239736	-	cas6f
NC_010278	239739..240734	-	cas7f
NC_010278	240736..241695	-	cas5f
NC_010278	241692..243041	-	cas8f
NC_009053	CAS-I-F		
NC_009053	231296..234643	-	cas3f
NC_009053	234640..235596	-	cas1
NC_009053	237305..237874	-	cas6f
NC_009053	237877..238872	-	cas7f
NC_009053	238874..239833	-	cas5f
NC_009053	239830..241179	-	cas8f
NC_010939	CAS-I-F		
NC_010939	238708..242055	-	cas3f
NC_010939	242052..243008	-	cas1
NC_010939	244955..245524	-	cas6f
NC_010939	245527..246522	-	cas7f
NC_010939	246524..247483	-	cas5f
NC_010939	247480..248829	-	cas8f
NC_009655	CAS-II-C		
NC_009655	431928..435116	+	cas9
NC_009655	435171..436088	+	cas1
NC_009655	436081..436407	+	cas2
NC_009655	CAS-I-C		
NC_009655	1430489..1432924	+	cas3
NC_009655	1432939..1433682	+	cas5
NC_009655	1433679..1435742	+	cas8c
NC_009655	1435764..1436603	+	cas7
NC_009655	1436604..1437278	+	cas4
NC_009655	1437319..1437627	-	Uncharacterized homolog of gam
NC_009655	1437880..1438266	+	HxlR-like helix-turn-helix. Hx
NC_009655	1438455..1439357	+	-
NC_009655	1439371..1440384	+	cas1
NC_009655	1440424..1440717	+	cas2
NC_018690	CAS-II-C		
NC_018690	552318..555482	+	cas9
NC_018690	555537..556454	+	cas1
NC_018690	556447..556773	+	cas2
NC_022521	CAS-I-A		
NC_022521	314428..314991	-	cas4
NC_022521	315008..315301	-	cas2
NC_022521	315292..316287	-	cas1
NC_022521	316297..317148	-	cas4
NC_022521	317302..317997	-	casR
NC_022521	318211..319233	+	The CBS domain, named after hu,This cd contains two tandem re,AsnC family. The AsnC family i
NC_022521	319349..319984	+	casR
NC_022521	320118..320519	+	csa5gr11
NC_022521	320534..321550	+	cas7
NC_022521	321587..322432	+	cas5
NC_022521	322438..323658	+	cas8a3
NC_022521	323655..325400	+	cas3
NC_022521	325406..326305	+	cas3HD
NC_022521	326320..327231	+	cas6
NC_022521	CAS-I-A		
NC_022521	727038..727787	-	cas6
NC_022521	727787..728932	-	cas8a2
NC_022521	728949..729794	-	cas3HD
NC_022521	729791..731509	-	cas3
NC_022521	731487..732407	-	cas5
NC_022521	732391..733431	-	cas7
NC_022521	733439..733888	-	csa5gr11
NC_022521	734002..734724	-	casR
NC_022521	734688..735293	-	cas4
NC_022521	735295..735573	-	cas2
NC_022521	735577..736560	-	cas1
NC_022521	736557..737315	-	cas4
NC_000854	CAS-I-A		
NC_000854	776023..776754	-	cas6
NC_000854	776762..777886	-	cas8a2
NC_000854	777900..778748	-	cas3HD
NC_000854	778745..780457	-	cas3
NC_000854	780435..781283	-	cas5
NC_000854	781330..782373	-	cas7
NC_000854	782381..782776	-	csa5gr11
NC_000854	782944..783666	-	casR
NC_000854	783636..784235	-	cas4
NC_000854	784237..784515	-	cas2
NC_000854	784519..785502	-	cas1
NC_000854	785499..786281	-	cas4
NC_016513	partial CAS-I-C		
NC_016513	1372668..1374368	+	cas3
NC_016513	1374433..1374786	+	cas7
NC_016513	1375030..1377450	+	cas4,Predicted ATP-dependent endonu
NC_016513	1377573..1378517	+	cas1
NC_016513	1378521..1378814	+	cas2
NC_017846	CAS-I-C		
NC_017846	192308..192601	-	cas2
NC_017846	192605..193618	-	cas1
NC_017846	193666..195510	-	Protein of unknown function DU
NC_017846	195573..196220	-	cas4
NC_017846	196396..197289	-	cas7
NC_017846	197311..199344	-	cas8c
NC_017846	199341..200120	-	cas5
NC_017846	200129..202595	-	cas3
NC_017846	CAS-I-F		
NC_017846	537179..538525	+	cas8f
NC_017846	538535..539494	+	cas5f
NC_017846	539494..540504	+	cas7f
NC_017846	540507..541070	+	cas6f
NC_017846	541116..544403	-	cas3f
NC_017846	544400..545365	-	cas1
NC_017846	CAS-I-C		
NC_017846	2000496..2001170	+	cas5
NC_017846	2001167..2002944	+	cas8c
NC_017846	2002957..2003823	+	cas7
NC_017846	2003968..2004618	+	cas4
NC_012913	CAS-I-C		
NC_012913	331822..334113	+	cas3
NC_012913	334191..335945	+	-
NC_012913	336034..336708	+	cas5
NC_012913	336705..338495	+	cas8c
NC_012913	338507..339373	+	cas7
NC_012913	339389..340054	+	cas4
NC_012913	340068..340748	+	-
NC_012913	340835..341848	+	cas1
NC_012913	341852..342145	+	cas2
NC_010655	CAS-II-C		
NC_010655	2439026..2439337	-	cas2
NC_010655	2439325..2440260	-	cas1
NC_010655	2440271..2443576	-	cas9
NC_018691	CAS-I-F		
NC_018691	3937715..3938278	-	cas6f
NC_018691	3938282..3939319	-	cas7f
NC_018691	3939338..3940324	-	cas5f
NC_018691	3940317..3941216	-	cas8f
NC_018691	3941701..3945087	-	cas3f
NC_018691	3945084..3945923	-	cas1
NC_018691	3946251..3947228	-	WYL
NC_014910	CAS-II-C		
NC_014910	228371..231460	+	cas9
NC_014910	231466..232395	+	cas1
NC_014910	232438..232743	+	cas2
NC_015422	CAS-II-C		
NC_015422	218107..221196	+	cas9
NC_015422	221202..222131	+	cas1
NC_015422	222174..222389	+	cas2
NC_013205	CAS-III-B		
NC_013205	2355644..2356786	-	cmr6gr7
NC_013205	2356779..2357165	-	cmr5gr11
NC_013205	2357191..2358084	-	cmr4gr7
NC_013205	2358081..2359328	-	cmr3gr5
NC_013205	2359325..2361175	-	cas10
NC_013205	2361172..2362605	-	cmr1gr7
NC_013205	2362598..2363926	-	csx1
NC_013205	2363941..2365035	-	csm6
NC_013205	CAS-I-U		
NC_013205	2722499..2724121	-	csb2gr5
NC_013205	2724118..2725080	-	cas7
NC_013205	2725097..2727442	-	cas8u1
NC_013205	2727432..2730053	-	cas3
NC_013205	2730892..2731182	-	cas2
NC_013205	2731195..2732235	-	cas1
NC_013205	2732223..2732861	-	cas4
NC_017167	CAS-III-B		
NC_017167	2434783..2435886	-	cmr6gr7
NC_017167	2435921..2436196	-	cmr5gr11
NC_017167	2436333..2437226	-	cmr4gr7
NC_017167	2437223..2438470	-	cmr3gr5
NC_017167	2438467..2440317	-	cas10
NC_017167	2440314..2441858	-	cmr1gr7
NC_017167	2441877..2443085	-	csx1
NC_017167	2443100..2444158	-	csm6
NC_017167	CAS-I-U		
NC_017167	2799366..2800949	-	csb2gr5
NC_017167	2800979..2801941	-	cas7
NC_017167	2801958..2804231	-	cas8u1
NC_017167	2804228..2806867	-	cas3HD
NC_017167	2807563..2807853	-	cas2
NC_017167	2807867..2808907	-	cas1
NC_017167	2808895..2809530	-	cas4
NC_017167	CAS-I-U		
NC_017167	3040867..3041880	-	cas8u1
NC_017167	3041855..3044896	-	cas3
NC_017167	3044856..3046373	-	csb2gr5
NC_017167	3046370..3047695	-	csb1gr7
NC_008340	CAS-I-E		
NC_008340	1079650..1079946	-	cas2
NC_008340	1079918..1080814	-	cas1
NC_008340	1081520..1082248	-	cas5
NC_008340	1082248..1083405	-	cas7
NC_008340	1083416..1083934	-	cse2gr11
NC_008340	1083921..1085468	-	cas8e
NC_008340	1085465..1088080	-	cas3
NC_009633	CAS-I-C		
NC_009633	1754576..1756972	+	cas3
NC_009633	1756987..1757739	+	cas5
NC_009633	1757723..1759678	+	cas8c
NC_009633	1759694..1760554	+	cas7
NC_009633	1760541..1761209	+	cas4
NC_009633	1761206..1762237	+	cas1
NC_009633	1762246..1762536	+	cas2
NC_009633	CAS-I-B		
NC_009633	2263887..2264834	+	WYL
NC_009633	2265010..2266470	-	-
NC_009633	2266591..2267364	+	cas6
NC_009633	2267378..2269042	+	cas8b2,cas8b2
NC_009633	2269042..2269926	+	cas7
NC_009633	2269913..2270692	+	cas5
NC_009633	2270714..2272945	+	cas3
NC_009633	2272969..2273460	+	cas4
NC_009633	2273471..2274463	+	cas1
NC_009633	2274468..2274746	+	cas2
NC_013851	CAS-I-E		
NC_013851	762462..762752	-	cas2
NC_013851	762733..763650	-	cas1
NC_013851	763708..763920	-	Predicted nuclease of the RNAs
NC_013851	764003..764632	-	cas6e
NC_013851	764629..765312	-	cas5
NC_013851	765324..766505	-	cas7
NC_013851	766506..766964	-	cse2gr11
NC_013851	766961..767062	-	-
NC_013851	767059..768483	-	cas8e
NC_013851	768539..768688	-	-
NC_013851	768865..771498	-	cas3
NC_013852	CAS-III-B		
NC_013852	23..1168	+	csm6
NC_013852	1203..2384	+	cmr1gr7
NC_013852	2388..4205	+	cas10
NC_013852	4202..5500	+	cmr3gr5
NC_013852	5539..6417	+	cmr4gr7
NC_013852	6414..6818	+	cmr5gr11
NC_013852	6821..7855	+	cmr6gr7
NC_013852	partial (CAS-III-A/CAS-I-F)		
NC_013852	16230..16547	+	csx16
NC_013852	16627..17145	+	Short C-terminal domain.
NC_013852	17240..17524	+	cas2
NC_013852	17551..17922	+	cas2
NC_013852	17919..18959	+	cas1
NC_011138	CAS-I-E		
NC_011138	3212103..3212282	-	cas2
NC_011138	3212411..3213331	-	cas1
NC_011138	3213334..3214155	-	KilA-N domain. The amino-termi
NC_011138	3214176..3214844	-	cas6e
NC_011138	3214844..3215539	-	cas5
NC_011138	3215589..3216626	-	cas7
NC_011138	3216672..3217241	-	cse2gr11
NC_011138	3217241..3218848	-	cas8e
NC_011138	3218845..3221592	-	cas3
NC_011138	3221711..3222547	-	WYL
NC_014011	CAS-I-B		
NC_014011	115215..115499	-	cas2
NC_014011	115516..117165	-	cas4,cas1
NC_014011	117162..117842	-	cas5
NC_014011	117848..118768	-	cas7
NC_014011	118794..120596	-	cas8b3
NC_014011	120626..122908	-	cas3
NC_014011	122913..123560	-	cas6
NC_013385	partial CAS-I-B		
NC_013385	693041..694036	+	cas1
NC_013385	694063..694326	+	cas2
NC_013385	CAS-III-C		
NC_013385	809709..810980	+	cmr1gr7
NC_013385	811072..812202	+	cmr6gr7
NC_013385	812199..816047	+	cas10
NC_013385	816044..817147	+	cmr4gr7
NC_013385	817141..817620	+	cmr5gr11
NC_013385	817617..818669	+	cmr3gr5
NC_013385	CAS-III-C		
NC_013385	929758..930792	+	cmr1gr7
NC_013385	930789..931880	+	cmr6gr7
NC_013385	931877..934858	+	cas10
NC_013385	934872..935936	+	cmr4gr7
NC_013385	935933..936313	+	cmr5gr11
NC_013385	936310..937185	+	cmr3gr5
NC_013385	CAS-I-B;CAS-III		
NC_013385	983098..984090	+	WYL
NC_013385	984150..984899	+	cas6
NC_013385	984913..986907	+	cas8b1
NC_013385	986907..987911	+	cas7b
NC_013385	987918..988718	+	cas5
NC_013385	988676..991141	+	cas3
NC_013385	991153..991686	+	cas4
NC_013385	994004..994891	+	-
NC_013385	994967..996094	+	csx1
NC_013385	996096..997391	+	csx1
NC_013385	997405..999537	+	cas10
NC_013385	999552..1000265	+	csm3gr7
NC_013385	1000237..1001463	+	csx10gr5
NC_013385	1001429..1001815	+	csm2gr11
NC_013385	1001812..1002636	+	csm3gr7
NC_013385	1002629..1003525	+	csm3gr7
NC_013385	1003522..1004070	+	csx19
NC_013385	1004083..1005078	+	csm3gr7,csm3gr7
NC_013385	1005092..1005394	+	csx21
NC_013385	CAS-I-D		
NC_013385	1758383..1759306	-	cas4
NC_013385	1759308..1759877	-	cas4
NC_013385	1759893..1760192	-	cas2
NC_013385	1760208..1761218	-	cas1
NC_013385	1761236..1762459	-	P-loop Domain of unknown funct
NC_013385	1762452..1763444	-	P-loop Domain of unknown funct
NC_013385	1763444..1764241	-	-
NC_013385	1764269..1764628	-	Domain of unknown function (DU
NC_013385	1764645..1765430	-	csc1gr5
NC_013385	1765437..1766384	-	csc2gr7
NC_013385	1766500..1767069	-	cas11d
NC_013385	1767111..1769189	-	cas10d
NC_013385	1769243..1770007	-	cas3HD
NC_013385	1769994..1772906	-	cas3
NC_013385	1772945..1774003	-	WYL
NC_013385	1773984..1774982	-	cas6
NC_022116	CAS-I-E		
NC_022116	6454830..6455480	-	cas6e
NC_022116	6455471..6456181	-	cas5
NC_022116	6456178..6457308	-	cas7
NC_022116	6457305..6457901	-	cse2gr11
NC_022116	6457898..6459478	-	cas8e
NC_022116	6459475..6459795	-	-
NC_022116	6459792..6462071	-	cas3
NC_017186	CAS-I-E		
NC_017186	6444969..6445619	-	cas6e
NC_017186	6445610..6446320	-	cas5
NC_017186	6446317..6447447	-	cas7
NC_017186	6447444..6448040	-	cse2gr11
NC_017186	6448037..6449617	-	cas8e
NC_017186	6449614..6449934	-	-
NC_017186	6449931..6452210	-	cas3
NC_018266	CAS-I-E		
NC_018266	6454895..6455545	-	cas6e
NC_018266	6455536..6456246	-	cas5
NC_018266	6456243..6457373	-	cas7
NC_018266	6457370..6457966	-	cse2gr11
NC_018266	6457963..6459543	-	cas8e
NC_018266	6459540..6459860	-	-
NC_018266	6459857..6462136	-	cas3
NC_014318	CAS-I-E		
NC_014318	6444925..6445575	-	cas6e
NC_014318	6445566..6446276	-	cas5
NC_014318	6446273..6447403	-	cas7
NC_014318	6447400..6447996	-	cse2gr11
NC_014318	6447993..6449573	-	cas8e
NC_014318	6449570..6449890	-	-
NC_014318	6449887..6452166	-	cas3
NC_019429	CAS-I-D		
NC_019429	42158..42430	-	cas2
NC_019429	42472..43476	-	cas1
NC_019429	43567..44220	-	cas4
NC_019429	44265..44633	-	23S rRNA-intervening sequence
NC_019429	44997..45815	-	cas6
NC_019429	45920..46339	+	-
NC_019429	46340..47047	-	csc1gr5
NC_019429	47053..48096	-	csc2gr7
NC_019429	48185..51532	-	cas10d
NC_019429	51525..51962	-	Protein of unknown function DU
NC_019429	51983..53002	-	Protein of unknown function (D
NC_019429	53298..53819	-	-
NC_019429	53807..55984	-	cas3
NC_019771	CAS-I-D		
NC_019771	1763710..1763982	-	cas2
NC_019771	1764060..1765061	-	cas1
NC_019771	1765148..1765756	-	cas4
NC_019771	1765890..1766708	-	cas6
NC_019771	1766813..1767232	+	-
NC_019771	1767233..1767940	-	csc1gr5
NC_019771	1767946..1768956	-	csc2gr7
NC_019771	1769132..1772482	-	cas10d
NC_019771	1772535..1773554	-	Protein of unknown function (D
NC_019771	1773567..1773770	-	Uncharacterized conserved prot
NC_019771	1773882..1774112	-	-
NC_019771	1774557..1776734	-	cas3
NC_019771	1776887..1777756	+	WYL
NC_019771	CAS-III-D		
NC_019771	4751173..4752327	-	cas6
NC_019771	4758974..4760302	-	WYL
NC_019771	4760404..4760709	+	csx3
NC_019771	4760772..4761692	+	csx3
NC_019771	4761689..4763986	+	cas10
NC_019771	4763983..4764693	+	csm3gr7
NC_019771	4764693..4765916	+	csx10gr5
NC_019771	4765913..4766332	+	csm2gr11
NC_019771	4766356..4767483	+	csm6
NC_019771	4767549..4768115	+	Putative restriction endonucle
NC_019771	4768140..4769006	+	csm3gr7
NC_019771	4769021..4769647	+	PD-DExK
NC_019771	4769671..4770609	+	csm3gr7
NC_019771	4770606..4771097	+	csx19
NC_019771	4771099..4772172	+	csm3gr7,csm3gr7
NC_019771	4772172..4772804	+	csx21
NC_019772	CAS-III-D;CAS-I-A		
NC_019772	30409..31539	-	cas6
NC_019772	35765..37192	-	WYL
NC_019772	37309..38595	+	csx1
NC_019772	38604..40277	+	cas10
NC_019772	40240..40932	+	csm3gr7
NC_019772	40929..42575	+	csx10gr5
NC_019772	42568..44112	+	csm3gr7,csm3gr7
NC_019772	44109..44714	+	csx19
NC_019772	44704..47193	+	csm3gr7,csx21
NC_019772	50025..50972	-	-
NC_019772	51102..52910	+	cas8a4
NC_019772	52903..53865	+	cas7
NC_019772	53846..54598	+	cas5
NC_019772	54576..55601	+	cas6
NC_019772	55608..56192	+	cas4
NC_019772	56196..57173	+	cas1
NC_019772	57170..57463	+	cas2
NC_019772	CAS-III-B		
NC_019772	149604..151610	+	RT_G2_intron: Reverse transcri,cas1
NC_019772	154306..155358	+	cas1
NC_019772	155585..155932	-	23S rRNA-intervening sequence
NC_019772	156119..156397	+	cas2
NC_019772	156580..156840	+	-
NC_019772	157182..157478	+	-
NC_019772	157618..157791	+	-
NC_019772	158033..158887	+	-
NC_019772	158960..162091	+	cas10
NC_019772	162095..163306	+	cmr3gr5
NC_019772	163299..164198	+	cmr4gr7
NC_019772	164201..164662	+	cmr5gr11
NC_019772	164697..166421	+	cmr6gr7
NC_019773	CAS-III-B		
NC_019773	14244..15776	-	csx1
NC_019773	15773..17734	-	cmr6gr7,cmr1gr7
NC_019773	17740..18138	-	cmr5gr11
NC_019773	18166..18942	-	cmr4gr7
NC_019773	18954..20090	-	cmr3gr5
NC_019773	20090..23125	-	cas10
NC_019773	25830..25967	-	-
NC_019773	26010..26291	-	cas2
NC_019773	26301..27293	-	cas1
NC_019773	27308..27583	-	csx18
NC_019773	27800..28987	+	WYL
NC_020157	CAS-III-C		
NC_020157	125224..126252	+	cmr1gr7
NC_020157	126263..127675	+	cmr6gr7
NC_020157	127665..130436	+	cas10
NC_020157	130444..131538	+	cmr4gr7
NC_020157	131538..131969	+	cmr5gr11
NC_020157	131966..132829	+	cmr3gr5
NC_007413	CAS-I-B		
NC_007413	4330014..4330697	+	cas6
NC_007413	4330715..4332253	+	cas8b3,cas8b3
NC_007413	4332312..4333286	+	cas7
NC_007413	4333288..4333920	+	cas5
NC_007413	CAS-I-D		
NC_007413	5212492..5213358	-	WYL
NC_007413	5213459..5215636	+	cas3
NC_007413	5215892..5216170	+	-
NC_007413	5216398..5216643	+	Uncharacterized conserved prot
